128.114.143.160, 2019-04-20 19:46:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
128.114.143.160, 2019-04-20 19:49:46, GET, /hw2/default/, HTTP/1.1, 500, 0.403340
128.114.143.160, 2019-04-20 19:49:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
128.114.143.160, 2019-04-20 19:50:25, GET, /hw2/default/, HTTP/1.1, 500, 0.285901
128.114.143.160, 2019-04-20 19:50:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
128.114.143.160, 2019-04-20 19:51:27, GET, /hw2/default/, HTTP/1.1, 500, 0.107125
128.114.143.160, 2019-04-20 19:51:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
128.114.143.160, 2019-04-20 19:52:17, GET, /hw2/default/, HTTP/1.1, 200, 0.084302
128.114.143.160, 2019-04-20 19:52:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
128.114.143.160, 2019-04-20 19:53:08, GET, /hw2/default/, HTTP/1.1, 500, 0.104201
128.114.143.160, 2019-04-20 19:53:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
128.114.143.160, 2019-04-20 19:54:53, GET, /hw2/default/, HTTP/1.1, 200, 0.109465
128.114.143.160, 2019-04-20 19:54:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
128.114.143.160, 2019-04-20 19:55:33, GET, /hw2/default/, HTTP/1.1, 500, 0.110628
128.114.143.160, 2019-04-20 19:55:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
128.114.143.160, 2019-04-20 19:56:03, GET, /hw2/default/, HTTP/1.1, 200, 0.093100
128.114.143.160, 2019-04-20 19:56:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
128.114.143.160, 2019-04-20 19:56:20, GET, /hw2/default/, HTTP/1.1, 200, 0.117821
128.114.143.160, 2019-04-20 19:56:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
128.114.143.160, 2019-04-20 20:10:33, GET, /hw2/default/, HTTP/1.1, 200, 0.097289
128.114.143.160, 2019-04-20 20:10:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
128.114.143.160, 2019-04-20 20:16:02, GET, /hw2/default/, HTTP/1.1, 200, 0.140107
128.114.143.160, 2019-04-20 20:16:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000346
128.114.143.162, 2019-04-22 02:03:31, GET, /hw2/default/, HTTP/1.1, 500, 0.230516
128.114.143.162, 2019-04-22 02:03:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
128.114.143.162, 2019-04-22 02:04:34, GET, /hw2/default/index, HTTP/1.1, 500, 0.097192
128.114.143.162, 2019-04-22 02:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
128.114.143.162, 2019-04-22 02:06:55, GET, /hw2/default/index, HTTP/1.1, 500, 0.165432
128.114.143.162, 2019-04-22 02:06:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
128.114.143.162, 2019-04-22 02:26:37, GET, /admin/hw2/site, HTTP/1.1, 200, 0.360950
128.114.143.162, 2019-04-22 02:26:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
128.114.143.162, 2019-04-22 02:26:52, GET, /admin/hw2/site, HTTP/1.1, 200, 0.001547
128.114.143.162, 2019-04-22 02:26:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000281
128.114.143.157, 2019-04-22 05:18:33, GET, /hw2/default/index, HTTP/1.1, 500, 0.118901
128.114.143.157, 2019-04-22 05:18:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000281
128.114.143.157, 2019-04-22 05:21:50, GET, /hw2/default/index, HTTP/1.1, 303, 0.103566
128.114.143.157, 2019-04-22 05:21:50, GET, /hw2/default/user/login, HTTP/1.1, 404, 0.022461
128.114.143.157, 2019-04-22 05:21:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
128.114.143.157, 2019-04-22 05:22:15, GET, /hw2/default/user/login, HTTP/1.1, 404, 0.019380
128.114.143.157, 2019-04-22 05:22:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/default/user/login, HTTP/1.1, 200, 0.092735
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.000454
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.000498
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.000439
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.000234
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.000192
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000339
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.000354
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.000580
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.000463
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.000243
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.000215
128.114.143.157, 2019-04-22 05:23:42, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000627
128.114.143.157, 2019-04-22 05:23:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
128.114.143.157, 2019-04-22 05:26:01, GET, /hw2/default/user/register, HTTP/1.1, 200, 0.032893
128.114.143.157, 2019-04-22 05:26:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000645
128.114.143.157, 2019-04-22 05:26:07, GET, /hw2/default/index, HTTP/1.1, 303, 0.020657
128.114.143.157, 2019-04-22 05:26:07, GET, /hw2/default/user/login, HTTP/1.1, 200, 0.042586
128.114.143.157, 2019-04-22 05:26:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
128.114.143.157, 2019-04-22 05:26:09, GET, /hw2/default/index, HTTP/1.1, 303, 0.018671
128.114.143.157, 2019-04-22 05:26:09, GET, /hw2/default/user/login, HTTP/1.1, 200, 0.031365
128.114.143.157, 2019-04-22 05:26:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
128.114.143.157, 2019-04-22 05:27:33, GET, /hw2/default/user/register, HTTP/1.1, 200, 0.030623
128.114.143.157, 2019-04-22 05:27:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
128.114.143.157, 2019-04-22 05:27:49, POST, /hw2/default/user/register, HTTP/1.1, 200, 0.032301
128.114.143.157, 2019-04-22 05:27:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
128.114.143.157, 2019-04-22 05:28:14, POST, /hw2/default/user/register, HTTP/1.1, 303, 0.050050
128.114.143.157, 2019-04-22 05:28:14, GET, /hw2/default/index, HTTP/1.1, 200, 0.024484
128.114.143.157, 2019-04-22 05:28:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
128.114.143.157, 2019-04-22 05:28:18, GET, /hw2/default/index, HTTP/1.1, 200, 0.021925
128.114.143.157, 2019-04-22 05:28:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
128.114.143.157, 2019-04-22 05:42:50, GET, /hw2/default/list, HTTP/1.1, 500, 0.111352
128.114.143.157, 2019-04-22 05:42:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
128.114.143.157, 2019-04-22 05:43:24, GET, /hw2/default/list, HTTP/1.1, 404, 0.096275
128.114.143.157, 2019-04-22 05:43:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/default/list, HTTP/1.1, 200, 0.097312
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.000527
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.000449
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.000296
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.000274
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.000473
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.000233
128.114.143.157, 2019-04-22 05:48:29, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000508
128.114.143.157, 2019-04-22 05:48:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
128.114.143.157, 2019-04-22 05:48:31, GET, /hw2/default/list/new/r_products, HTTP/1.1, 200, 0.032918
128.114.143.157, 2019-04-22 05:48:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
128.114.143.157, 2019-04-22 06:10:12, GET, /hw2/default/list, HTTP/1.1, 200, 0.076992
128.114.143.157, 2019-04-22 06:10:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
128.114.143.157, 2019-04-22 06:10:16, GET, /hw2/default/list/new/r_products, HTTP/1.1, 200, 0.051437
128.114.143.157, 2019-04-22 06:10:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
128.114.143.157, 2019-04-22 06:15:30, GET, /hw2/default/list, HTTP/1.1, 200, 0.223432
128.114.143.157, 2019-04-22 06:15:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
128.114.143.157, 2019-04-22 06:15:32, GET, /hw2/default/list/new/r_products, HTTP/1.1, 200, 0.058520
128.114.143.157, 2019-04-22 06:15:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
128.114.143.157, 2019-04-22 06:22:02, GET, /hw2/default/list, HTTP/1.1, 500, 0.048194
128.114.143.157, 2019-04-22 06:22:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
128.114.143.157, 2019-04-22 06:23:11, GET, /hw2/default/list, HTTP/1.1, 200, 0.120571
128.114.143.157, 2019-04-22 06:23:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
128.114.143.157, 2019-04-22 06:23:12, GET, /hw2/default/list/new/r_products, HTTP/1.1, 200, 0.054594
128.114.143.157, 2019-04-22 06:23:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
128.114.143.157, 2019-04-22 06:34:18, GET, /hw2/default/index, HTTP/1.1, 200, 0.055074
128.114.143.157, 2019-04-22 06:34:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
128.114.143.157, 2019-04-22 06:39:36, GET, /hw2/default/index, HTTP/1.1, 500, 0.271803
128.114.143.157, 2019-04-22 06:39:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
128.114.143.157, 2019-04-22 06:40:08, GET, /hw2/default/index, HTTP/1.1, 200, 0.049425
128.114.143.157, 2019-04-22 06:40:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
128.114.143.157, 2019-04-22 06:40:14, GET, /hw2/default/list, HTTP/1.1, 200, 0.061285
128.114.143.157, 2019-04-22 06:40:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000368
128.114.143.157, 2019-04-22 06:40:16, GET, /hw2/default/list/new/r_products, HTTP/1.1, 200, 0.057887
128.114.143.157, 2019-04-22 06:40:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
